CONSENTRATIONS	step	temp	pH	H2S(aq)	HS-	Methane(aq)	Fe++	H2(aq)	NO3-	O2(aq)	NH4+	SO4--	MgSO4(aq)	CaSO4(aq)	KSO4-	HCO3-	MgHCO3+	NaHCO3(aq)	CO2(aq)
CONSENTRATIONS	41	2.0	7.79	1.974e-08	7.738e-08	1.107e-06	1.396e-09	2.049e-09	1.20000000038e-05	0.000319871	6.76338e-09	0.0278952065805	0	0.001389	0.0003462	0.002163	0	0	8.69e-05
CONSENTRATIONS	42	2.0	7.803	1.751e-08	7.07e-08	1.004e-06	1.267e-09	1.86e-09	1.20000000037e-05	0.000319871	6.13665e-09	0.0278952063884	0	0.001389	0.0003462	0.002162	0	0	8.432e-05
CONSENTRATIONS	43	2.0	7.815	1.557e-08	6.458e-08	9.114e-07	1.15e-09	1.688e-09	1.20000000036e-05	0.000319871	5.56998e-09	0.0278951062164	0	0.001389	0.0003461	0.002161	0	0	8.202e-05
CONSENTRATIONS	44	2.0	7.826	1.387e-08	5.898e-08	8.273e-07	1.044e-09	1.532e-09	1.20000000035e-05	0.000319871	5.05538e-09	0.0278951060623	0	0.001389	0.0003461	0.00216	0	0	7.995e-05
CONSENTRATIONS	45	2.0	7.836	1.238e-08	5.385e-08	7.51e-07	9.475e-10	1.391e-09	1.20000000034e-05	0.000319871	4.58985e-09	0.0278951059243	0	0.001389	0.0003461	0.002158	0	0	7.81e-05
CONSENTRATIONS	46	2.0	7.845	1.107e-08	4.916e-08	6.819e-07	8.603e-10	1.263e-09	1.20000000034e-05	0.000319871	4.1674e-09	0.0278951058003	0	0.001389	0.0003461	0.002157	0	0	7.644e-05
CONSENTRATIONS	47	2.0	7.853	9.909e-09	4.487e-08	6.192e-07	7.812e-10	1.147e-09	1.20000000033e-05	0.00031995	3.78403e-09	0.0278951056893	0	0.001389	0.0003461	0.002156	0	0	7.495e-05
CONSENTRATIONS	48	2.0	7.861	8.887e-09	4.095e-08	5.623e-07	7.095e-10	1.041e-09	1.20000000032e-05	0.00031995	3.43674e-09	0.0278951055892	0	0.001389	0.0003461	0.002155	0	0	7.361e-05
CONSENTRATIONS	49	2.0	7.868	7.981e-09	3.738e-08	5.107e-07	6.444e-10	9.459e-10	1.20000000032e-05	0.00031995	3.12152e-09	0.0278951055002	0	0.001389	0.0003461	0.002155	0	0	7.241e-05
CONSENTRATIONS	50	2.0	7.874	7.224e-09	3.43e-08	4.666e-07	5.887e-10	8.642e-10	1.20000000032e-05	0.00031995	2.85145e-09	0.0278951054232	0	0.001389	0.0003461	0.002154	0	0	7.138e-05
CONSENTRATIONS	51	2.0	7.879	6.599e-09	3.17e-08	4.295e-07	5.419e-10	7.955e-10	1.20000000031e-05	0.00031995	2.62452e-09	0.0278951053602	0	0.001389	0.0003461	0.002153	0	0	7.053e-05
CONSENTRATIONS	52	2.0	7.884	6.075e-09	2.948e-08	3.979e-07	5.019e-10	7.369e-10	1.20000000031e-05	0.00031995	2.43172e-09	0.0278951053062	0	0.001389	0.0003461	0.002153	0	0	6.981e-05
CONSENTRATIONS	53	2.0	7.887	5.629e-09	2.755e-08	3.706e-07	4.675e-10	6.863e-10	1.20000000031e-05	0.00031995	2.26401e-09	0.0278951052602	0	0.001389	0.0003461	0.002152	0	0	6.919e-05
CONSENTRATIONS	54	2.0	7.891	5.245e-09	2.587e-08	3.468e-07	4.375e-10	6.422e-10	1.2000000003e-05	0.00031995	2.11938e-09	0.0278951052202	0	0.001389	0.0003461	0.002152	0	0	6.865e-05
CONSENTRATIONS	55	2.0	7.894	4.911e-09	2.439e-08	3.258e-07	4.111e-10	6.035e-10	1.2000000003e-05	0.00031995	1.990817e-09	0.0278951051842	0	0.001389	0.0003461	0.002151	0	0	6.817e-05
CONSENTRATIONS	56	2.0	7.896	4.619e-09	2.307e-08	3.073e-07	3.877e-10	5.692e-10	1.2000000003e-05	0.00031995	1.878313e-09	0.0278951051531	0	0.001389	0.0003461	0.002151	0	0	6.776e-05
CONSENTRATIONS	57	2.0	7.899	4.359e-09	2.189e-08	2.907e-07	3.668e-10	5.385e-10	1.2000000003e-05	0.00031995	1.776859e-09	0.0278951051261	0	0.001389	0.0003461	0.002151	0	0	6.739e-05
CONSENTRATIONS	58	2.0	7.901	4.129e-09	2.083e-08	2.759e-07	3.481e-10	5.11e-10	1.2000000003e-05	0.00031995	1.686446e-09	0.0278951051011	0	0.001389	0.0003461	0.00215	0	0	6.706e-05
CONSENTRATIONS	59	2.0	7.903	3.922e-09	1.988e-08	2.625e-07	3.311e-10	4.862e-10	1.2000000003e-05	0.00031995	1.60407e-09	0.0278951050791	0	0.001389	0.0003461	0.00215	0	0	6.676e-05
CONSENTRATIONS	60	2.0	7.904	3.735e-09	1.9e-08	2.503e-07	3.158e-10	4.636e-10	1.20000000029e-05	0.00031995	1.529726e-09	0.0278951050591	0	0.001389	0.0003461	0.00215	0	0	6.649e-05
CONSENTRATIONS	61	2.0	7.906	3.566e-09	1.821e-08	2.392e-07	3.018e-10	4.431e-10	1.20000000029e-05	0.00031995	1.46241e-09	0.0278951050401	0	0.001389	0.0003461	0.00215	0	0	6.624e-05
CONSENTRATIONS	62	2.0	7.907	3.413e-09	1.748e-08	2.291e-07	2.89e-10	4.243e-10	1.20000000029e-05	0.00031995	1.400119e-09	0.0278951050241	0	0.001389	0.0003461	0.002149	0	0	6.602e-05
CONSENTRATIONS	63	2.0	7.909	3.272e-09	1.681e-08	2.198e-07	2.772e-10	4.071e-10	1.20000000029e-05	0.00031995	1.34285e-09	0.0278951050081	0	0.001389	0.0003461	0.002149	0	0	6.581e-05
CONSENTRATIONS	64	2.0	7.91	3.143e-09	1.62e-08	2.112e-07	2.664e-10	3.911e-10	1.20000000029e-05	0.00031995	1.2906e-09	0.0278951049941	0	0.001389	0.0003461	0.002149	0	0	6.562e-05
CONSENTRATIONS	65	2.0	7.911	3.024e-09	1.563e-08	2.032e-07	2.564e-10	3.764e-10	1.20000000029e-05	0.00031995	1.241368e-09	0.0278951049811	0	0.001389	0.0003461	0.002149	0	0	6.545e-05
CONSENTRATIONS	66	2.0	7.912	2.915e-09	1.509e-08	1.958e-07	2.471e-10	3.628e-10	1.20000000029e-05	0.00031995	1.197152e-09	0.0278951049691	0	0.001389	0.0003461	0.002149	0	0	6.529e-05
